CRCode,CRName,Latitude,Longitude
UKR,Ukraine,48.06251907,38.51665115
FRA,France,48.06470871,0.11908
SVK,Slovak Republic,48.07408142,18.94945908
UKR,Ukraine,48.08332062,39.37763977
SVK,Slovak Republic,48.08612824,18.18446922
UKR,Ukraine,48.08964157,39.65243149
AUT,Austria,48.09999847,16.28333092
HUN,Hungary,48.09999847,20.78333092
HUN,Hungary,48.10480118,22.53743935
HUN,Hungary,48.1333313,21.46666908
DEU,Germany,48.13742828,11.57549
UKR,Ukraine,48.13946915,22.97193909
UKR,Ukraine,48.13954163,38.93714905
SVK,Slovak Republic,48.14815903,17.10674095
UKR,Ukraine,48.15570831,24.79112053
AUT,Austria,48.16667175,14.03332996
UKR,Ukraine,48.17234039,23.23646927
USA,United States,48.17963028,-117.0432587
USA,United States,48.18074036,-116.9093628
UKR,Ukraine,48.1922493,25.93074036
USA,United States,48.19578934,-114.312912
USA,United States,48.1987114,-122.1251373
AUT,Austria,48.20000076,15.63333035
AUT,Austria,48.20848846,16.37207985
CAN,Canada,48.22969818,-69.8006134
USA,United States,48.23285675,-101.2952728
DEU,Germany,48.241539,12.75294972
UKR,Ukraine,48.24222183,31.41583061
UKR,Ukraine,48.24742127,31.75432015
UKR,Ukraine,48.25867844,25.17946053
UKR,Ukraine,48.27077103,26.12623978
USA,United States,48.27629089,-117.7155228
USA,United States,48.27658844,-116.5532532
RUS,Russian Federation,48.27954865,46.17216873
UKR,Ukraine,48.28197861,37.17584992
UKR,Ukraine,48.29148865,25.94034004
UKR,Ukraine,48.29228973,39.73728943
USA,United States,48.29315949,-122.643219
AUT,Austria,48.30638886,14.28610992
UKR,Ukraine,48.31071091,25.09575081
FRA,France,48.31354141,1.999349952
UKR,Ukraine,48.31502914,23.13248062
DEU,Germany,48.31666946,8.916669846
RUS,Russian Federation,48.31779099,40.25947952
UKR,Ukraine,48.32043839,35.51792145
DEU,Germany,48.32332993,11.60122013
UKR,Ukraine,48.32643127,39.53366089
RUS,Russian Federation,48.33372116,39.94776154
RUS,Russian Federation,48.33633041,40.29587936
CAN,Canada,48.33778,-70.87944031
CAN,Canada,48.33855057,-70.88034058
FRA,France,48.34202957,3.262130022
UKR,Ukraine,48.34577942,39.65824127
UKR,Ukraine,48.34698105,38.05419159
RUS,Russian Federation,48.35501862,41.82627106
DEU,Germany,48.36471939,10.90114021
DEU,Germany,48.36787033,12.03316975
UKR,Ukraine,48.37678146,35.12398148
CAN,Canada,48.38090515,-89.25120544
USA,United States,48.38829041,-115.5559998
UKR,Ukraine,48.39247131,22.54307938
DEU,Germany,48.39279175,10.01111984
DEU,Germany,48.3984108,9.991550446
FRA,France,48.40000153,-4.483329773
UKR,Ukraine,48.40417862,24.93873978
DEU,Germany,48.40539169,12.76264
UKR,Ukraine,48.40642166,37.18111038
HUN,Hungary,48.40906143,22.17613983
AUT,Austria,48.41667175,15.73332977
CAN,Canada,48.41962814,-71.06369019
CAN,Canada,48.42596436,-123.3609467
UKR,Ukraine,48.43161011,26.26231003
SVK,Slovak Republic,48.43173981,17.80310059
UKR,Ukraine,48.43198013,22.20554924
CAN,Canada,48.43294144,-123.3693008
UKR,Ukraine,48.43918991,22.7177906
UKR,Ukraine,48.44691849,25.56937027
UKR,Ukraine,48.44694138,31.07611084
CAN,Canada,48.4487915,-68.5239563
UKR,Ukraine,48.45000076,34.98332977
UKR,Ukraine,48.4515686,24.55435944
USA,United States,48.45999908,-115.8911133
UKR,Ukraine,48.46147156,37.08523941
CAN,Canada,48.46678925,-71.64910126
UKR,Ukraine,48.46892929,38.81668854
FRA,France,48.47718811,3.13161993
RUS,Russian Federation,48.48083115,135.0927734
SVK,Slovak Republic,48.48123932,18.71565056
SVK,Slovak Republic,48.50477982,17.43066979
UKR,Ukraine,48.50743103,39.30036163
UKR,Ukraine,48.5113411,34.60210037
UKR,Ukraine,48.51319885,32.25970078
CAN,Canada,48.51679993,-72.23243713
UKR,Ukraine,48.52307129,25.84369087
UKR,Ukraine,48.52769852,37.70690155
UKR,Ukraine,48.53115082,25.03648949
AUT,Austria,48.53332901,16.75
UKR,Ukraine,48.53340912,35.87049866
UKR,Ukraine,48.54225922,28.11473084
USA,United States,48.54999924,-109.6840897
UKR,Ukraine,48.56705093,39.31705856
AUT,Austria,48.5699997,16.57666969
UKR,Ukraine,48.57527924,35.10680008
FRA,France,48.5834198,7.742959976
UKR,Ukraine,48.58879852,22.2750206
UKR,Ukraine,48.59558868,37.9998703
FRA,France,48.60641098,-2.881999969
RUS,Russian Federation,48.60734177,42.84621048
UKR,Ukraine,48.6166687,22.29999924
